equation,latex_label,section,source_manual_page,source_pdf_page,source_pdf_sha256,reconstructed_page,reconstructed_section,tex_file,tex_line_start,tex_line_end,tex_label_line,latex_snippet_sha256,transcription_status,verification_scope,validation_suite,code_implementation_status,notes
2-117,eq:runge-kutta-stage-two,Numerical Integration,2-40,69,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-25,Numerical Integration,manual/chapters/chapter02/02_01_numerical_integration.tex,154,162,161,927156821fc9144e7fed55f6d566486591659583f5f27aee21b411b700e70e0f,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Runge-Kutta third derivative evaluation
2-118,eq:runge-kutta-stage-three,Numerical Integration,2-40,69,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-25,Numerical Integration,manual/chapters/chapter02/02_01_numerical_integration.tex,163,171,170,b86d36b58ab6aaf2235fd444ad111ac8d7141649c02150199d5483ee0b25e6fa,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Runge-Kutta fourth derivative evaluation
2-119,eq:rail-constrained-acceleration-components,Rail Launches and Sled Tests,2-41,70,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-26,Rail Launches and Sled Tests,manual/chapters/chapter02/02_02_rail_launches.tex,10,23,22,bfaebe54ca2f212872aaa53b8bdedc0c718304201162d38ec3e924617de70b23,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,not yet mapped to an executable mathematics implementation,Rail-constrained ECFC acceleration components
2-120,eq:rail-acceleration-magnitude,Rail Launches and Sled Tests,2-41,70,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-26,Rail Launches and Sled Tests,manual/chapters/chapter02/02_02_rail_launches.tex,25,30,29,f1510b864eb85ac37293c08b243f015d6e6295e969c96de98ef14c4694b88298,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,not yet mapped to an executable mathematics implementation,Acceleration magnitude along the rail
2-121,eq:rail-friction-acceleration,Rail Launches and Sled Tests,2-41,70,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-26,Rail Launches and Sled Tests,manual/chapters/chapter02/02_02_rail_launches.tex,33,38,37,cb7ffa31202b90850652734d60de6759486f333cdf1b8efd152d20cca3a307bc,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,not yet mapped to an executable mathematics implementation,Acceleration loss from rail friction
2-122,eq:rail-normal-acceleration,Rail Launches and Sled Tests,2-41,70,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-26,Rail Launches and Sled Tests,manual/chapters/chapter02/02_02_rail_launches.tex,40,47,46,3dfe0eb767ee1ab6813f73e38f78c0dfba47ee892331c61d191d05737120097d,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,not yet mapped to an executable mathematics implementation,Acceleration normal to the rail
2-123,eq:longitude-sine,Longitude Latitude and Altitude Rates,2-42,71,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-26,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,16,24,23,d083dfc0d2191a54f50af8965888d6dcb6989e2600f1a702e77ba9fe4650c17c,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Sine of longitude
2-124,eq:longitude-cosine,Longitude Latitude and Altitude Rates,2-42,71,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-26,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,25,33,32,9a92654fe185c977c46ddb41a1086e51378310a48f6068c90f75d3abc49f23ac,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Cosine of longitude
2-125,eq:longitude-arctangent,Longitude Latitude and Altitude Rates,2-42,71,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-26,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,35,43,42,c2fd859e2cd012c5ba8dd438cd05acc25ba6bba6231c46ba06bc5584180815cb,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Longitude inverse-tangent definition
2-126,eq:longitude-rate-component-form,Longitude Latitude and Altitude Rates,2-42,71,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-27,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,46,59,58,fbd59029650f5bab77743555a9fbc454c51501f89fe1464e95e89d8bbbf92e31,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Longitude rate in ECFC components
2-127,eq:longitude-rate-unit-vector-form,Longitude Latitude and Altitude Rates,2-42,71,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-27,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,61,74,73,542a95491000e7af48b635c3748c104a5fcd10fbef9cd322c31f962e8b0552a1,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Longitude rate in unit-vector form
2-128,eq:geocentric-latitude-rate,Longitude Latitude and Altitude Rates,2-43,72,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-27,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,82,87,86,2d17a2b0bf3fd432da22b9e5cdacb989413b34d92a3337f853b5e41b3712dca3,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Geocentric latitude rate
2-129,eq:geodetic-latitude-rate-start,Longitude Latitude and Altitude Rates,2-43,72,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-27,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,95,100,99,3751607a76cd562183f24031a554783e28a78371550271abb04e512127ceb6a0,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Starting identity for geodetic latitude rate
2-130,eq:geodetic-latitude-rate-differentiated,Longitude Latitude and Altitude Rates,2-43,72,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-27,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,102,111,110,2159d94b6b341acd7918e216ee3c3c4f97f700986874eab35bf4fb24a8374d79,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Differentiated geodetic latitude identity
2-131,eq:geodetic-latitude-rate-general,Longitude Latitude and Altitude Rates,2-43,72,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-27,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,113,127,126,618084e2105b1c48de3d474e85a6b0788248f32f12b176e2857d4653238c4fd9,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,General geodetic latitude-rate solution
2-132,eq:equatorial-projection-for-rate,Longitude Latitude and Altitude Rates,2-43,72,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-27,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,129,132,131,e2b879dc902def9e2780fda54722826869332ae104c87aae749cb73650dac8c8,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Equatorial projection definition for rate derivation
2-133,eq:equatorial-projection-rate,Longitude Latitude and Altitude Rates,2-43,72,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-27,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,133,141,140,9efcc8e40a9c78af2681a6d350cf957cb39b58564b094cd78f217e4f7e7035db,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Equatorial projection rate
2-134,eq:ecfc-z-position-rate,Longitude Latitude and Altitude Rates,2-43,72,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-27,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,142,145,144,60ab419b829dcdd275a13a5cdd31027dbc9ccb0716dd30e8797e8b7079ae073c,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,ECFC z-position rate
2-135,eq:altitude-rate,Longitude Latitude and Altitude Rates,2-43,72,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-27,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,147,150,149,83517f20357f18eb2de14014d867c9208096e8b76fabd421a140333dd000b8b1,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Altitude rate
2-136,eq:geodetic-latitude-rate-normal-radius,Longitude Latitude and Altitude Rates,2-43,72,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-27,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,153,160,159,a7dcb91a4932600e77df1c41f746a19892df2f888783fb95550364d1679c136e,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Geodetic latitude rate using the ellipsoid normal radius
2-137,eq:geodetic-latitude-rate-final,Longitude Latitude and Altitude Rates,2-43,72,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-27,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,163,170,169,24ac2edb6e040173f4f9aaa2e1c6533496a5cce8cbc649343247546f9f54c0b4,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Final geodetic latitude-rate expression
2-138,eq:altitude-acceleration,Longitude Latitude and Altitude Rates,2-44,73,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-28,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,178,183,182,df87fbec9e8f9da2d903a5e709695fbc60455147e50b1526670e675dd3400ed2,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Altitude acceleration
2-139,eq:geodetic-down-unit-vector-derivative-definition,Longitude Latitude and Altitude Rates,2-44,73,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-28,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,185,197,196,d0868c9b0adeaf1396719f74842c213a201e52d00e4a221f04436a1b2e6a5663,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Derivative definition for the geodetic down unit vector
2-140,eq:geodetic-down-unit-vector-derivative,Longitude Latitude and Altitude Rates,2-44,73,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-28,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,199,217,216,2877f3a30f40cb8b59f18a6989658eb526b9beec76706859d233ff6686e7f919,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Expanded geodetic down-unit-vector derivative
2-141,eq:dynamic-pressure-rate-definition,Longitude Latitude and Altitude Rates,2-44,73,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-28,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,225,228,227,a6fd28a3ad68051bb94f2491225325bf6a00f14cb413deb4ffa40feaf10db40d,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,not yet mapped to an executable mathematics implementation,Dynamic-pressure definition used for rates
2-142,eq:dynamic-pressure-second-derivative,Longitude Latitude and Altitude Rates,2-44,73,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-28,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,230,237,236,b5a54c2bd28ca5e5eea18985182b94f44f6a8d1a6c325aa541485624569675bf,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,not yet mapped to an executable mathematics implementation,Approximated dynamic-pressure second derivative
2-143,eq:atmospheric-density-rate,Longitude Latitude and Altitude Rates,2-44,73,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-28,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,239,244,243,d75a922a76777d1f8f2f6c25fbbbfc44a6fb9b1a5a2b846640240fb1381d5b43,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,not yet mapped to an executable mathematics implementation,Atmospheric-density rate
2-144,eq:atmospheric-density-second-rate,Longitude Latitude and Altitude Rates,2-44,73,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-28,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,246,251,250,851fab9dcdd864e9d2b6a7bd88f438a7b0763816243c426f0ccbd2439901e94c,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,not yet mapped to an executable mathematics implementation,Approximated atmospheric-density second derivative
2-145,eq:mach-number-rate-definition,Longitude Latitude and Altitude Rates,2-45,74,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-28,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,259,262,261,31535f7907517748f4d4e268acdb33435e165c04110bd03329a5fb5b522028b2,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,not yet mapped to an executable mathematics implementation,Mach-number definition
2-146,eq:mach-number-rate,Longitude Latitude and Altitude Rates,2-45,74,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-28,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,264,271,270,25643ef14e25fd65af39325e7f1f77b7d2ea3eee7d5878bac2ebf440967c342a,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,not yet mapped to an executable mathematics implementation,Mach-number rate
2-147,eq:speed-of-sound-rate,Longitude Latitude and Altitude Rates,2-45,74,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-28,"Longitude, Latitude, and Altitude Rates",manual/chapters/chapter02/02_03_state_rates.tex,273,278,277,15394dce80ba16c0fccfaf4b6522180252a924962dc68f4010c64a6184dd8876,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,not yet mapped to an executable mathematics implementation,Speed-of-sound rate
2-148,eq:ground-speed-vector-definition,Ground Speed and Range,2-46,75,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-29,Ground Speed and Range,manual/chapters/chapter02/02_04_ground_speed.tex,19,22,21,819f3b4bf03fba007314768a5838757531c7bbb5ee86db5c594e80494fe211d2,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Ground-speed vector definition
2-149,eq:surface-point-relative-velocity,Ground Speed and Range,2-46,75,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-29,Ground Speed and Range,manual/chapters/chapter02/02_04_ground_speed.tex,25,29,28,1a590e0b8cf07e303f742c84ca67c7f11018926e5ecc9a0ded733d7f75a5c8bc,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Surface-point relative velocity as an altitude-vector derivative
2-150,eq:surface-point-relative-velocity-expanded,Ground Speed and Range,2-46,75,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-29,Ground Speed and Range,manual/chapters/chapter02/02_04_ground_speed.tex,31,35,34,98135021e0984161c5a7b54eb588bda141e430b75bea9fdaceae09d7fdf90fdb,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Expanded surface-point relative velocity
2-151,eq:ground-speed-geodetic-components,Ground Speed and Range,2-46,75,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-29,Ground Speed and Range,manual/chapters/chapter02/02_04_ground_speed.tex,41,47,46,a234683dc291cd8e2d64d31a27385292b17e5a577195e471120e804eba11b4dc,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Ground-speed vector in geodetic components
2-152,eq:ground-speed-final,Ground Speed and Range,2-46,75,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-29,Ground Speed and Range,manual/chapters/chapter02/02_04_ground_speed.tex,50,59,58,e196480666cd5f712f7a8d00862ada1ad4ac9320c354275d97681ec01fd252a3,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Ground-speed vector from flight-path angles
2-153,eq:velocity-frame-angular-velocity-sum,Flight Path Angle Rates,2-47,76,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-29,Flight Path Angle Rates,manual/chapters/chapter02/02_05_flight_path_rates.tex,20,25,24,8d4d7dd32ae74a4fa81f49c0bce152cf3f58cf58215b07605f8dc7f6da7f50f3,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Velocity-frame angular-velocity sum
2-154,eq:ecfc-to-geodetic-angular-velocity,Flight Path Angle Rates,2-47,76,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-30,Flight Path Angle Rates,manual/chapters/chapter02/02_05_flight_path_rates.tex,29,34,33,cd4d2d6848fefff272259b85864afcaedb9c024edb241f286475c15b01fb99ec,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,ECFC-to-geodetic angular velocity
2-155,eq:geodetic-to-velocity-angular-velocity,Flight Path Angle Rates,2-47,76,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-30,Flight Path Angle Rates,manual/chapters/chapter02/02_05_flight_path_rates.tex,36,41,40,f76ca12f57fdd8ad8681805b4ae51c7ba58dd6c10581d9319e1a26f3c95a80e4,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Geodetic-to-velocity angular velocity
2-156,eq:velocity-frame-angular-velocity-expanded,Flight Path Angle Rates,2-47,76,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-30,Flight Path Angle Rates,manual/chapters/chapter02/02_05_flight_path_rates.tex,43,50,49,6a4df84c9cba6e16e7e90572f789c540dc754549cdd216f21f38f5e242d74863,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Expanded velocity-frame angular velocity
2-157,eq:velocity-angular-rate-y-component,Flight Path Angle Rates,2-47,76,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-30,Flight Path Angle Rates,manual/chapters/chapter02/02_05_flight_path_rates.tex,52,60,59,02af5b6484219a65811a1ca5739f341b56208e6f5a9225b7e7b5dd15b039faa8,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Velocity-frame angular velocity y component
2-158,eq:heading-term-orthogonal-yv,Flight Path Angle Rates,2-47,76,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-30,Flight Path Angle Rates,manual/chapters/chapter02/02_05_flight_path_rates.tex,62,65,64,eef7818ee3d20b4eebb5cfd5c2f1112b693853272e5bf73c9460255b7bb52da1,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Heading term orthogonality
2-159,eq:velocity-angular-rate-y-simplified,Flight Path Angle Rates,2-48,77,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-30,Flight Path Angle Rates,manual/chapters/chapter02/02_05_flight_path_rates.tex,68,74,73,30ce377fb7df17aa72b3e973a999e5f877cde939488f666aeab55c248bb915d1,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Simplified velocity-frame y angular-rate component
2-160,eq:velocity-angular-rate-z-component,Flight Path Angle Rates,2-48,77,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-30,Flight Path Angle Rates,manual/chapters/chapter02/02_05_flight_path_rates.tex,77,85,84,6e0da1e0ef90fa47c2b7457c5d23a81132ed7bed5db8a69793eac50e83358cd0,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Velocity-frame angular velocity z component
2-161,eq:velocity-angular-rate-z-simplified,Flight Path Angle Rates,2-48,77,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-30,Flight Path Angle Rates,manual/chapters/chapter02/02_05_flight_path_rates.tex,87,93,92,8cbc2a9dc084609e843ef6cdff0256b61ae388da07f9463540978397ec7d2f55,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Simplified velocity-frame z angular-rate component
2-162,eq:velocity-derivative-in-rotating-velocity-frame,Flight Path Angle Rates,2-48,77,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-30,Flight Path Angle Rates,manual/chapters/chapter02/02_05_flight_path_rates.tex,97,102,101,9205e7d2c5210d58ca8c7216f24b1fe746188620dcfbe5054a66392f660a8f45,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Earth-fixed acceleration from velocity-frame differentiation
2-163,eq:speed-rate-from-acceleration,Flight Path Angle Rates,2-48,77,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-30,Flight Path Angle Rates,manual/chapters/chapter02/02_05_flight_path_rates.tex,104,110,109,c6548adc21ff59094467aaa4c622117037bd5ef082dd769d8a83a35ef48d5b0c,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Speed rate from acceleration
2-164,eq:velocity-frame-cross-product,Flight Path Angle Rates,2-48,77,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-30,Flight Path Angle Rates,manual/chapters/chapter02/02_05_flight_path_rates.tex,112,127,126,7c9d654719299d131b3415e0a2a380b202cd59848f6db3df2a4bf8255813c22a,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Velocity-frame angular-velocity cross product
2-165,eq:acceleration-in-velocity-frame,Flight Path Angle Rates,2-48,77,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-30,Flight Path Angle Rates,manual/chapters/chapter02/02_05_flight_path_rates.tex,132,143,142,dcc88f7e9eedefb0c826f2e27b91e72b57a9f35c19b1a8de681b932f09dc9f6b,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Acceleration decomposition in velocity coordinates
2-166,eq:acceleration-yv-component,Flight Path Angle Rates,2-48,77,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-30,Flight Path Angle Rates,manual/chapters/chapter02/02_05_flight_path_rates.tex,145,150,149,cf40230ddc9f7b51a17025bd8ad9642dad30d4fbbf1f571094760e8f4910edb4,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Velocity-frame y acceleration component
2-167,eq:angular-rate-z-from-acceleration,Flight Path Angle Rates,2-48,77,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-31,Flight Path Angle Rates,manual/chapters/chapter02/02_05_flight_path_rates.tex,152,157,156,867cffd83f130b46f517cc99393a9d7eaab43d136ecf8783c44ef15e85762546,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Velocity-frame z angular-rate component from acceleration
2-168,eq:acceleration-zv-component,Flight Path Angle Rates,2-49,78,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-31,Flight Path Angle Rates,manual/chapters/chapter02/02_05_flight_path_rates.tex,159,164,163,63ef783a0e1b36d2d259d96feeb0e93e997a2bb57cfdaf0e0a453046d11257a7,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Velocity-frame z acceleration component
2-169,eq:angular-rate-y-from-acceleration,Flight Path Angle Rates,2-49,78,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-31,Flight Path Angle Rates,manual/chapters/chapter02/02_05_flight_path_rates.tex,166,171,170,ac4a1dfbc40bfd3a995313c6ce806af235d374b9f501a24ecd620d636b40a090,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Velocity-frame y angular-rate component from acceleration
2-170,eq:geodetic-flight-path-angle-rate,Flight Path Angle Rates,2-49,78,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-31,Flight Path Angle Rates,manual/chapters/chapter02/02_05_flight_path_rates.tex,175,182,181,60bb1906b656a77d0df9e081f3970d920c7efc7e890b47a1d5ce155ac36b5a1d,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Geodetic vertical flight-path-angle rate
2-171,eq:geodetic-heading-rate,Flight Path Angle Rates,2-49,78,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-31,Flight Path Angle Rates,manual/chapters/chapter02/02_05_flight_path_rates.tex,185,194,193,9c53d0dab3ba12e6b262b77bc28b35b0af931fbc3014a25d0de817d80cac373b,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Geodetic heading rate
2-172,eq:specific-load-inertial-definition,Specific Load Factors,2-50,79,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-31,Specific Load Factors,manual/chapters/chapter02/02_06_specific_load.tex,6,9,8,b8f4aff319c7bee55262f09d2e25f26c35572003089069906be99b1b3045728c,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Specific-load vector from inertial and gravity acceleration
2-173,eq:specific-load-force-definition,Specific Load Factors,2-50,79,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-31,Specific Load Factors,manual/chapters/chapter02/02_06_specific_load.tex,12,16,15,bb5c3801f8de870a4f31f0bb60d1a09829c9914cdddc7b9ae95712451018c86c,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Specific-load vector from aerodynamic and propulsive forces
2-174,eq:normal-specific-load,Specific Load Factors,2-50,79,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-31,Specific Load Factors,manual/chapters/chapter02/02_06_specific_load.tex,31,38,37,799a8aef0d6164df841742567165cdfb0b6ca3cbe4d7e7bae9fff8a55d52b970,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Normal specific-load magnitude
